File, Pylint Score, Avg Cyclomatic Complexity, Complexity Rank, Maintainability Index, MI Rating
./T1\01\ipynb.py, 8.7, 0, A, 71.83838441716532, A
./T1\02\ipynb.py, 7.87, 0, A, 78.02201782432873, A
./T1\03\ipynb.py, 7.86, 0, A, 74.38546179013035, A
./T1\04\ipynb.py, 7.83, 0, A, 78.3299853302546, A
./T1\05\ipynb.py, 8.15, 0, A, 79.14365836166266, A
./T1\06\ipynb.py, 6.0, 1.0, A, 83.63650697452123, A
./T1\07\ipynb.py, 7.22, 0, A, 73.72666961489095, A
./T1\08\ipynb.py, 8.17, 0, A, 74.94409769347385, A
./T1\09\ipynb.py, 7.78, 0, A, 79.88725682015999, A
./T1\10\ipynb.py, 7.29, 0, A, 77.18626425502362, A
./T2\01\ipynb.py, 6.94, 0, A, 82.80045236838181, A
./T2\02\ipynb.py, 7.41, 0, A, 80.98892405945632, A
./T2\03\ipynb.py, 7.1, 0, A, 100.0, A
./T2\04\ipynb.py, 7.59, 0, A, 80.36137123138155, A
./T2\05\ipynb.py, 6.11, 1.0, A, 82.04730044386775, A
./T2\06\ipynb.py, 6.2, 0, A, 80.91347693803708, A
./T2\07\ipynb.py, 6.81, 0, A, 81.80293582423451, A
./T2\08\ipynb.py, 7.06, 0, A, 80.06584063471388, A
./T2\09\ipynb.py, 7.08, 0, A, 78.74460677240104, A
./T2\10\ipynb.py, 6.92, 0, A, 74.80074999579132, A
./T3\01\ipynb.py, 7.43, 0, A, 86.69808868786936, A
./T3\02\ipynb.py, 7.14, 0, A, 86.69808868786936, A
./T3\03\ipynb.py, 7.43, 0, A, 87.98084834417216, A
./T3\04\ipynb.py, 7.43, 0, A, 86.79560816269775, A
./T3\05\ipynb.py, 7.43, 0, A, 87.98084834417216, A
./T3\06\ipynb.py, 6.94, 0, A, 84.63166330173794, A
./T3\07\ipynb.py, 6.3, 0, A, 77.99291885477292, A
./T3\08\ipynb.py, 7.5, 0, A, 82.36413590724011, A
./T3\09\ipynb.py, 7.07, 0, A, 89.64289853879295, A
./T3\10\ipynb.py, 6.58, 0, A, 65.85895582076492, A
